# Gives the time variation in UNSET.
Time,mean,95% CI min,95% CI max,Simulated
0.250000,1.000000,1.000000,1.000000,1.000000
0.750000,1.000000,1.000000,1.000000,1.000000
1.250000,1.000000,1.000000,1.000000,1.000000
1.750000,1.000000,1.000000,1.000000,1.000000
2.250000,1.000000,1.000000,1.000000,1.000000
2.750000,1.000000,1.000000,1.000000,1.000000
3.250000,1.000000,1.000000,1.000000,1.000000
3.750000,1.000000,1.000000,1.000000,1.000000
4.250000,1.000000,1.000000,1.000000,1.000000
4.750000,1.000000,1.000000,1.000000,1.000000
5.250000,1.000000,1.000000,1.000000,1.000000
5.750000,1.000000,1.000000,1.000000,1.000000
6.250000,1.000000,1.000000,1.000000,1.000000
6.750000,1.000000,1.000000,1.000000,1.000000
7.250000,1.000000,1.000000,1.000000,1.000000
7.750000,1.000000,1.000000,1.000000,1.000000
8.250000,1.000000,1.000000,1.000000,1.000000
8.750000,1.000000,1.000000,1.000000,1.000000
9.250000,1.000000,1.000000,1.000000,1.000000
9.750000,1.000000,1.000000,1.000000,1.000000
10.250000,1.000000,1.000000,1.000000,1.000000
10.750000,1.000000,1.000000,1.000000,1.000000
11.250000,1.000000,1.000000,1.000000,1.000000
11.750000,1.000000,1.000000,1.000000,1.000000
12.250000,1.000000,1.000000,1.000000,1.000000
12.750000,1.000000,1.000000,1.000000,1.000000
13.250000,1.000000,1.000000,1.000000,1.000000
13.750000,1.000000,1.000000,1.000000,1.000000
14.250000,1.000000,1.000000,1.000000,1.000000
14.750000,1.000000,1.000000,1.000000,1.000000
15.250000,1.000000,1.000000,1.000000,1.000000
15.750000,1.000000,1.000000,1.000000,1.000000
16.250000,1.000000,1.000000,1.000000,1.000000
16.750000,1.000000,1.000000,1.000000,1.000000
17.250000,1.000000,1.000000,1.000000,1.000000
17.750000,1.000000,1.000000,1.000000,1.000000
18.250000,1.000000,1.000000,1.000000,1.000000
18.750000,1.000000,1.000000,1.000000,1.000000
19.250000,1.000000,1.000000,1.000000,1.000000
19.750000,1.000000,1.000000,1.000000,1.000000
20.250000,1.000000,1.000000,1.000000,1.000000
20.750000,1.000000,1.000000,1.000000,1.000000
21.250000,1.000000,1.000000,1.000000,1.000000
21.750000,1.000000,1.000000,1.000000,1.000000
22.250000,1.000000,1.000000,1.000000,1.000000
22.750000,1.000000,1.000000,1.000000,1.000000
23.250000,1.000000,1.000000,1.000000,1.000000
23.750000,1.000000,1.000000,1.000000,1.000000
